"Site" "Mean_Temp" "Elevation" "transect" "predicted_allT_rfact" "predicted_allT_norfact" "predicted.ind.t" "Connectance" "Weighted.connectance" "Generality" "Vulnerability" "H2" "Interaction.evenness" "Niche.overlap.l1" "Niche.overlap.l2" "Number.modules" "Weighted.number.modules" "Robustness.l1" "Robustness.l2" "link.per.species" "Alatalo.interaction.evenness" "Shannon.diversity.cp" "Number.interacting.species.l1" "Number.interacting.species.l2" "Number.species.l1" "Number.species.l2" "functional.complementarity.l1" "functional.complementarity.l2" "mean.number.of.shared.partners.l1" "mean.number.of.shared.partners.l2" "partner.diversity.l1" "partner.diversity.l2"
"1" "B1" NA 601 "B" 21.4490108245591 21.4490108245591 22.7417459128195 0.464462809917355 0.0544752015510116 3.78683079438634 3.40389581034719 0.72492833390818 0.541106985270334 0.187959588109994 0.22895301625782 5 0.0568181818181818 0.964529597112594 0.799337630031181 4.25757575757576 0.651389093991483 3.46591386089282 55 11 77 11 718.090017555148 655.939332714545 2.58653198653199 15.4181818181818 1.11687083470888 1.07017986167812
"2" "B2" NA 743 "B" 20.5568061807082 20.5568061807082 21.6582500614537 0.471875 0.0550999461629741 5.37912986299149 3.32666163075842 0.740846520090208 0.582097023776385 0.162067236675704 0.136880285991164 9 0.0947368421052632 0.970816221795929 0.820160421086277 5.73417721518987 0.56916244866067 3.99722142735626 64 15 80 15 997.456381484541 1004.06025635864 3.74454365079365 20.5238095238095 1.02419626271001 1.28917465163185
"3" "B3" 19.1694915254237 1056 "B" 18.5901860854594 18.5901860854594 19.2699810369643 0.466559226430298 0.0407626155294285 3.99988736901765 3.33738342627949 0.750591220343226 0.551337277156196 0.172973289654419 0.126041719057586 9 0.079646017699115 0.972178247714763 0.85341703164814 6.43333333333333 0.624952812884737 3.92754635674641 73 17 96 17 1115.48798296502 1055.72790634275 4.09056316590563 21.3235294117647 1.03728938466757 1.15276475643854
"4" "B4" NA 1384 "B" 16.5293190207897 16.5293190207897 16.7672582253588 0.537414965986395 0.0536824000386052 3.95568822363908 2.27147018083912 0.732381502007229 0.533196651178185 0.258527549762502 0.105445975268748 7 0.0769230769230769 0.972648652315684 0.806380589347107 4.08620689655172 0.610342428761127 3.24665833646195 49 9 82 9 710.711620869216 707.392464176535 2.69642857142857 17.8055555555556 0.770987177498901 1.04943393284501
"5" "B5.1" NA 1361 "B" 16.6738310405683 16.6738310405683 16.9427540322702 0.477685950413223 0.0502738718052412 3.58269536980451 3.05345570848733 0.683512058067363 0.559172939370573 0.211928155698281 0.168725838848091 6 0.075 0.967389325349129 0.811476217292882 4.37878787878788 0.638452735090339 3.58163042421715 55 11 69 11 771.963695794926 659.30819069159 2.75824915824916 15.8181818181818 1.06082420423423 1.18560809016792
"6" "B5.2" NA 1712 "B" 14.4684519561199 14.4684519561199 14.2645354137533 0.605263157894737 0.0403904705429944 4.77507823414913 2.01052081707393 0.747204475090127 0.536110829680652 0.215122377163678 0.0970677603188129 7 0.0660377358490566 0.983993508507379 0.817492259893198 4.38095238095238 0.560114231347833 3.43656417436895 76 8 98 8 685.707193091453 640.446992370774 3.12035087719298 33.5 0.605133241944567 1.35712507095771
"7" "B6" 13.5966101694915 1836 "B" 13.6893436755741 13.6893436755741 13.3183841069269 0.546448087431694 0.0433711847193282 3.78671055762555 2.28525530308039 0.720321660057105 0.540561541253006 0.244897956706706 0.130426151918509 6 0.0618556701030928 0.977718962076535 0.835112981467606 4.28571428571429 0.683192324850394 3.40991541591808 61 9 88 9 744.916368150253 666.022524500115 2.83497267759563 21.5 0.737421918366904 1.21269192277063
"8" "B7" NA 2074 "B" 12.1939584274296 12.1939584274296 11.502384018018 0.473765432098765 0.0521141532178978 5.75835313684108 2.68413968445835 0.595414488763395 0.601200509757468 0.241244090140582 0.172942474579996 6 0.0545454545454545 0.970350573426407 0.79149178136995 3.79012345679012 0.636898131654827 3.89210638676112 72 9 101 9 537.093709349041 485.54396687033 2.45618153364632 20.3055555555556 0.934796433695456 1.69489909968686
"9" "B8" 9.77570621468927 2277 "B" 10.9184827746005 10.9184827746005 9.95344276571338 0.528985507246377 0.0746278511481674 5.78687400563365 1.97442251377576 0.694791176989084 0.62574644373389 0.257685333894668 0.108077948366766 6 0.0821917808219178 0.966669764205375 0.754075463886437 2.80769230769231 0.702358066784065 3.51694585408138 46 6 67 6 429.941606515335 388.580251104861 1.75555555555556 16.0666666666667 0.549155764179668 1.72518682639919
"10" "C1" 20.280790960452 630 "C" 21.2668000170121 21.2668000170121 20.6902014567411 0.535555555555556 0.058315924618151 4.21383858264415 2.66744052229767 0.671973528102665 0.567220581451266 0.247479592454879 0.172131652295539 6 0.0705882352941176 0.969605394422542 0.80533623193423 4.08474576271186 0.627002117557737 3.46529096612534 50 9 76 9 685.528735290169 652.289919263493 2.77469387755102 18.1111111111111 0.842575574486224 1.26806889921844
"11" "C2" NA 821 "C" 20.0667219397197 20.0667219397197 19.5822848657282 0.50834879406308 0.0447978663859882 2.98489271051936 2.39085125579922 0.746598445652019 0.545375946218459 0.179352124867873 0.107380914643989 6 0.0674157303370786 0.969486814996963 0.836735144121097 4.56666666666667 0.712056298370424 3.43025958092947 49 11 78 11 864.353194990594 819.790473081123 2.92006802721088 15.7818181818182 0.812615225755027 1.04189751635952
"12" "C3" 19.2519774011299 1004 "C" 18.916908912785 18.916908912785 18.5207731581086 0.482323232323232 0.074938936676128 4.48385722962731 3.45967005804225 0.640024311076172 0.565594567452115 0.215499380381479 0.268550424761203 6 0.0740740740740741 0.964840861876794 0.786176732967902 3.60377358490566 0.588531851797611 3.38305538356641 44 9 72 9 599.972049379164 571.283846365379 2.20401691331924 13.4166666666667 1.13750565552468 1.18586250832908
